Machine,Circuit,Diagnosis,Rank,Qty,Time - First,Time - Last,Time - Duration,Impact,FDD Analysis Type Id,Notes
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 11:37,6/10/14 11:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 12:07,6/10/14 12:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 12:37,6/10/14 12:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 13:07,6/10/14 13:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 13:37,6/10/14 13:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 14:07,6/10/14 14:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 14:37,6/10/14 14:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 15:07,6/10/14 15:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 15:37,6/10/14 15:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 16:07,6/10/14 16:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 16:37,6/10/14 16:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 17:07,6/10/14 17:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 17:37,6/10/14 17:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 18:07,6/10/14 18:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 18:37,6/10/14 18:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 19:07,6/10/14 19:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 8:33,6/11/14 8:33,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 9:03,6/11/14 9:03,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 9:33,6/11/14 9:33,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 10:03,6/11/14 10:03,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 10:33,6/11/14 10:33,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 11:03,6/11/14 11:03,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 11:34,6/11/14 11:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 12:04,6/11/14 12:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 12:34,6/11/14 12:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 13:04,6/11/14 13:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 13:34,6/11/14 13:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 14:04,6/11/14 14:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 14:34,6/11/14 14:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 15:04,6/11/14 15:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/11/14 15:34,6/11/14 15:34,"0 d, 0 h, 0 m, 0 s",0,414,
